filename,codeNumber,codeName,shape,colorFamily,size,trimming
WhatsApp Image 2025-10-10 at 7.11.18 PM.jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 7.48.38 PM (1).jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 7.49.22 PM (1).jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 7.51.05 PM.jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 7.51.49 PM.jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 7.51.50 PM.jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 7.52.36 PM.jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 7.54.47 PM.jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 7.56.00 PM (1).jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 7.56.00 PM.jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 7.59.42 PM.jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 7.59.43 PM.jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 8.02.04 PM (1).jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 8.02.04 PM.jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 9.00.48 PM.jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 9.02.09 PM.jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 9.10.52 PM (1).jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 9.10.52 PM (2).jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 9.10.52 PM (3).jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 9.10.52 PM (4).jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 9.10.52 PM (5).jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 9.10.52 PM (6).jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 9.10.52 PM (7).jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 9.10.52 PM (8).jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 9.10.52 PM (9).jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 9.10.52 PM.jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 9.13.01 PM (1).jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 9.13.01 PM (10).jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 9.13.01 PM (11).jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 9.13.01 PM (12).jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 9.13.01 PM (13).jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 9.13.01 PM (14).jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 9.13.01 PM (15).jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 9.13.01 PM (2).jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 9.13.01 PM (3).jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 9.13.01 PM (4).jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 9.13.01 PM (5).jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 9.13.01 PM (6).jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 9.13.01 PM (7).jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 9.13.01 PM (8).jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 9.13.01 PM (9).jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 9.13.01 PM.jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 9.14.28 PM (1).jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 9.14.29 PM.jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 9.16.14 PM.jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 9.16.15 PM (1).jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 9.16.15 PM (3).jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 9.16.15 PM (4).jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 9.16.15 PM (5).jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 9.16.15 PM.jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 9.17.32 PM.jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 9.17.33 PM (1).jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 9.17.33 PM (2).jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 9.17.33 PM (3).jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 9.17.33 PM (4).jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 9.17.33 PM (5).jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 9.17.33 PM (6).jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 9.17.33 PM.jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 9.17.34 PM.jpeg,"","","","","",""
